Transaction_ID,Account_ID,Amount,Date,Location,Type
T1,A8398,836.79,2023-11-20T19:48:10.000Z,Sevilla,Depósito
T2,A6533,2901.2,2023-03-26T09:31:14.000Z,Zaragoza,Pago
T3,A4619,4238.09,2023-07-11T01:08:02.000Z,Valencia,Pago
T4,A4473,374.21,2023-08-11T16:20:06.000Z,Sevilla,Depósito
T5,A9094,1189.82,2023-08-01T17:02:59.000Z,Sevilla,Transferencia
T6,A5765,3664.61,2023-11-19T05:56:50.000Z,Valencia,Pago
T7,A3492,3205.91,2023-10-18T01:33:59.000Z,Madrid,Transferencia
T8,A2534,4668.54,2023-03-04T01:37:36.000Z,Zaragoza,Transferencia
T9,A3065,4594.61,2023-01-14T08:27:16.000Z,Barcelona,Transferencia
T10,A7089,3374.18,2023-02-11T09:43:26.000Z,Barcelona,Retiro
T11,A7361,-969.95,2023-09-05T14:46:32.000Z,Zaragoza,Depósito
T12,A8292,-640.14,2023-07-19T11:07:40.000Z,Sevilla,Depósito
T13,A2782,4324.17,2023-09-21T07:13:12.000Z,Sevilla,Pago
T14,A9495,243.61,2023-04-25T13:31:07.000Z,Valencia,Transferencia
T15,A6377,29.12,2023-07-05T14:04:18.000Z,Zaragoza,Pago
T16,A322,-14.78,2023-11-10T15:04:48.000Z,Zaragoza,Transferencia
T17,A9943,2689.23,2023-03-23T13:25:12.000Z,Sevilla,Transferencia
T18,A8203,324.43,2023-05-25T18:44:19.000Z,Madrid,Depósito
T19,A3193,481.27,2023-05-01T17:33:20.000Z,Sevilla,Retiro
T20,A8284,2639.94,2023-04-16T17:02:27.000Z,Sevilla,Transferencia
T21,A1807,3903.11,2023-02-13T03:46:29.000Z,Barcelona,Depósito
T22,A8543,4329.66,2023-01-25T04:16:06.000Z,Valencia,Transferencia
T23,A1417,4584.54,2023-07-16T01:17:25.000Z,Madrid,Retiro
T24,A3287,-397.19,2023-10-27T04:37:02.000Z,Zaragoza,Retiro
T25,A5083,-591.81,2023-02-14T12:51:37.000Z,Valencia,Depósito
T26,A7324,3971.74,2023-02-24T17:51:39.000Z,Madrid,Depósito
T27,A2317,1372.2,2023-01-28T03:34:42.000Z,Barcelona,Retiro
T28,A5746,1333.95,2023-04-24T16:15:32.000Z,Madrid,Pago
T29,A3436,1144.55,2023-02-02T13:13:42.000Z,Madrid,Depósito
T30,A7174,412.04,2023-10-01T09:13:29.000Z,Madrid,Pago
T31,A1392,418.14,2023-02-04T13:03:25.000Z,Barcelona,Depósito
T32,A6566,4508.03,2023-02-05T21:07:52.000Z,Valencia,Retiro
T33,A4683,1059.47,2023-04-28T07:29:08.000Z,Valencia,Retiro
T34,A1036,2534.03,2023-12-02T05:19:20.000Z,Zaragoza,Depósito
T35,A5082,-45.84,2023-09-14T16:03:17.000Z,Valencia,Depósito
T36,A9414,3579.15,2023-06-02T22:33:43.000Z,Sevilla,Transferencia
T37,A2331,1412.43,2023-01-12T02:44:16.000Z,Madrid,Pago
T38,A2949,4805.41,2023-05-01T18:34:04.000Z,Valencia,Pago
T39,A6683,3245.91,2023-12-17T13:15:15.000Z,Valencia,Retiro
T40,A1215,-854.43,2023-01-13T09:35:25.000Z,Madrid,Retiro
T41,A5595,4123.5,2023-03-13T01:13:56.000Z,Barcelona,Depósito
T42,A8083,-515.59,2023-12-16T05:58:02.000Z,Zaragoza,Retiro
T43,A1534,1736.13,2023-07-07T16:28:04.000Z,Zaragoza,Transferencia
T44,A6777,2091.18,2023-02-21T03:32:22.000Z,Sevilla,Retiro
T45,A2097,4544.23,2023-03-20T02:16:00.000Z,Sevilla,Pago
T46,A4275,1853.29,2023-04-06T13:47:40.000Z,Barcelona,Pago
T47,A8759,2563.58,2023-11-28T18:25:28.000Z,Sevilla,Retiro
T48,A5332,4127.23,2023-07-10T14:34:51.000Z,Zaragoza,Pago
T49,A8095,-402.16,2023-05-10T20:06:12.000Z,Barcelona,Transferencia
T50,A2891,4027.36,2023-07-19T06:00:23.000Z,Madrid,Transferencia
T51,A1220,3603.03,2023-12-13T00:22:22.000Z,Zaragoza,Depósito
T52,A8507,4941.79,2023-12-06T12:55:04.000Z,Barcelona,Retiro
T53,A993,2242.22,2023-05-06T17:38:58.000Z,Barcelona,Transferencia
T54,A2986,4690.54,2023-03-28T02:42:00.000Z,Valencia,Pago
T55,A1119,1146.45,2023-05-13T23:23:58.000Z,Sevilla,Transferencia
T56,A4308,3685.73,2023-09-17T11:09:56.000Z,Barcelona,Pago
